Order;Experiment;Method;Organ;Conc;Time;Age;Agent;Study;DEGs;Specific_DEGs
1;PRJEB19862;R;MerFl;10uM;0.5h;?d;IAA;R.MerFl.10uM.0.5h.?d;586;31.90%
2;GSE18975;M;Sdl;1uM;0.5h;7d;IAA;M.Sdl.1uM.0.5h.7d;2881;1.80%
3;GSE149410;R;Root;1uM;1h;3d;IAA;R.Root.1uM.1h.3d;1654;1.70%
4;GSE18975;M;Sdl;1uM;1h;7d;IAA;M.Sdl.1uM.1h.7d;3725;1.50%
5;GSE3350;M;RtHM;10uM;2h;3d;IAA;M.RtHM.10uM.2h.3d;3992;1.70%
6;GSE35580;M;Root;5uM;2h;7d;IAA;M.Root.5uM.2h.7d;4435;1.60%
7;GSE42896;M;Root;10uM;2h;3d;IAA;M.Root.10uM.2h.3d;5274;1.00%
8;GSE627;M;Sdl;5uM;2h;7d;IAA;M.Sdl.5uM.2h.7d;1058;0.20%
9;GSE18975;M;Sdl;1uM;3h;7d;IAA;M.Sdl.1uM.3h.7d;4906;1.60%
10;GSE58028;M;Sdl;1uM;3h;7d;IAA;M.Sdl.1uM.3h.7d;410;1.20%
11;GSE52966;R;Root;5uM;4h;7d;IAA;R.Root.5uM.4h.7d;9461;7.40%
12;GSE42007;M;Root;1uM;4h;6d;IAA;M.Root.1uM.4h.6d;3205;0.70%
13;GSE7432;M;Root;1uM;4h;3d;IAA;M.Root.1uM.4h.3d;657;0.20%
14;GSE97258;R;Root;1uM;6h;3d;IAA;R.Root.1uM.6h.3d;1408;0.90%
15;GSE3350;M;RtHM;10uM;6h;3d;IAA;M.RtHM.10uM.6h.3d;7692;0.60%
16;GSE42896;M;RtHM;10uM;6h;3d;IAA;M.RtHM.10uM.6h.3d;11905;6.80%
17;GSE59426;M;Rttip;10uM;6h;3d;IAA;M.Rttip.10uM.6h.3d;4214;3.50%
18;GSE42007;M;Root;1uM;8h;6d;IAA;M.Root.1uM.8h.6d;3237;1.10%
19;GSE42007;M;Root;1uM;12h;6d;IAA;M.Root.1uM.12h.6d;2212;0.90%
20;GSE59741;M;Cbud;1uM;18h;24d;NAA;M.Cbud.1uM.18h.24d;2326;2.30%
21;GSE42007;M;Root;1uM;24h;6d;IAA;M.Root.1uM.24h.6d;686;0.70%
22;GSE81166;R;Mer;5uM;55h;14d;2,4D;R.Mer.5uM.55h.14d;11966;17.10%
23;GSE179303;M;Leaf;23kuM;72h;?d;2,4D;M.Leaf.23kuM.72h.?d;2957;3.80%
